id|titulo|tipos|temas|fontes|descricao_do_conjunto_de_dados|descricao_do_tipo_de_arquivo|nome_arquivo|data_ref|data_lancamento
11|Shapefile of the Census Tracts 2010 RM Belém SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Belém#Description of files|RM_Belem_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
12|Shapefile of the Census Tracts 2010 RM Belo Horizonte SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Belo Horizonte#Description of files|RM_Belo_Horizonte_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
13|Shapefile of the Census Tracts 2010 RM Campinas SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Campinas#Description of files|RM_Campinas_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
14|Shapefile of the Census Tracts 2010 RM Curitiba SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Curitiba#Description of files|RM_Curitiba_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
15|Shapefile of the Census Tracts 2010 RM Distrito Federal SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Distrito Federal#Description of files|RM_Distrito_Federal_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
16|Shapefile of the Census Tracts 2010 RM Florianópolis SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Florianópolis#Description of files|RM_Florianopolis_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
17|Shapefile of the Census Tracts 2010 RM Fortaleza SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Fortaleza#Description of files|RM_Fortaleza_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
18|Shapefile of the Census Tracts 2010 RM Goiânia SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Goiânia#Description of files|RM_Goiania_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
19|Shapefile of the Census Tracts 2010 RM João Pessoa SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Census tracts of João Pessoa#Description of files|RM_Joao_Pessoa_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
20|Shapefile of the Census Tracts 2010 RM Maceió SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Maceió#Description of files|RM_Maceio_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
21|Shapefile of the Census Tracts 2010 RM Manaus SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Manaus#Description of files|RM_Manaus_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
22|Shapefile of the Census Tracts 2010 RM Natal SC2010_CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Setores Censitários de Natal#Description of files|RM_Natal_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
23|Shapefile of the Census Tracts 2010 RM Porto Alegre SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Porto Alegre#Description of files|RM_Porto_Alegre_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
24|Shapefile of the Census Tracts 2010 RM Recife SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Recife#Description of files|RM_Recife_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
25|Shapefile of the Census Tracts 2010 RM Rio de Janeiro SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Rio de Janeiro#Description of files|RM_Rio_de_Janeiro_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
26|Shapefile of the Census Tracts 2010 RM Salvador SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Salvador#Description of files|RM_Salvador_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
27|Shapefile of the Census Tracts 2010 RM São Luís SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of São Luis#Description of files|RM_Sao_Luis_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
28|Shapefile of the Census Tracts 2010 RM São Paulo SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of São Paulo#Description of files#Description of files#Census tracts of Teresina|RM_Sao_Paulo_SC2010_V3_CEM.zip#DescricaoSC.pdf#DescricaoSC.pdf#RM_Teresina_sc2010_CEM.rar|2010|01/01/2013
29|Shapefile of the Census Tracts 2010 RM Teresina SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Teresina#Description of files|RM_Teresina_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
30|Shapefile of the Census Tracts 2010 RM Vitória SC2010 CEM|Cartographic|Demographic Census 2010|IBGE|This is the latest edition of the Census Tracts for the 2010 census for the metropolitan areas of Brazil and it offers a new horizon for socio-spatial researches. Associated with a geographic information system, these data and mapping files give access to an integrated set of information that makes it possible to identify areas with high concentrations of poverty or insufficiently addressed by public policies, becoming a key instrument for the society and public sector to know and to act in public places.|Census tracts of Vitória|RM_Vitoria_sc2010_CEM.rar|2010|01/01/2013
31|Districts of the Metropolitan Region of São Paulo|Cartographic|Territorial Division|IBGE||Perimetric contours and data from the 162 districts of the RMSP (shape), obtained according to the political-administrative framework of 01/01/2001. Edition: June 2007.#Figures of the Municipality of SP (jpg) divided into Districts + spreadsheet with data|CEMdistritos_shape.rar#DistritosSAO.rar|2010|01/01/2013
32|Municipalities of the Metropolitan Region of São Paulo|Cartographic|Territorial Division|IBGE||"Perimetric contours and data from the 39 districts of RMSP (shape), obtained according to the political-administrative framework of 01/01/2001. Edition: June 200#
RMSP (jpg) figures divided into municipalities and spreadsheet with data"|CEMmunic_shape.rar#MunicipiosRM.rar|2000|01/01/2004
33|CEP (Postal code) Sectors of the Metropolitan Region of São Paulo|Cartographic|Territorial Division|Department of Transport of the São Paulo Municipality#CEPs(Postal Code) Base of Mail||"
Perimeter contours and data from 97 sectors and subsectors of CEP - Postal Address Code (shape). Edition: June 2007."|CEMcep_shape.rar|2000|01/01/2004
34|Administrative Subdistricts the Metropolitan Region of São Paulo|Cartographic|Territorial Division|IBGE||Perimetric contours and data of the 31 subdistricts of the municipality of São Paulo (shape), according to municipal law 13,682 / 2003. Edition: June 2007.#Figures of the Municipality of São Paulo (jpg) divided into Subprefeituras + spreadsheet with data.|CEMsubpref_shape.rar#SubprefSAO.rar|2003|01/01/2007
35|Slums Cartographic Dataset(link na descrição, obs na tradução)|Cartographic|Housing|Department of the Housing of the São Paulo Municipality|"In February 2003, CEM and the Department of Housing and Urban Development of the São Paulo City Hall launched CD-ROM with the digital Cartographic database of the slums of the Municipality of São Paulo, which is the official registry of favelas in the Municipality. The work is the product of a technology transfer partnership between the two institutions. For more information on slums, see also the articles available in the library of this site.

The archive contains a cartographic consultation system for the slums of the Municipality, analytical text with the methodology used and population estimates and the digital cartographic bases of the favelas of the Municipality."|Maptitude#ArcView#Autocad Map#Excel|Maptitude.zip#ArcView.zip#AutoCAD_Map.zip#Microsoft_Excel.zip|2003|01/01/2003
36|Georeferenced Digital Cartographic Base of the RMSP Schools(Título não encontrado e texto da descrição não encontrado)|Cartographic|Education|Department of Education of the São Paulo State#Schools Census|"
The school base contains files containing digital geo-referenced cartography of the public and private schools of the São Paulo Metropolitan Region, having as original source information contained in the School Census 2013 (INEP / MEC). The original data was received in tabular database format. These databases were then standardized and georeferenced by the CEM Technology Transfer Team. Georeferencing consists of assigning geographic coordinates to each tabular database record, through operations performed in a Geographic Information System (GIS) environment. This process uses the geo-referenced CEM site base that, in a GIS environment, performs the binding of addresses to a geographic coordinate system, expressed generally in latitude and longitude. This database was used in the Schools application, specially formulated for the general public, where information about the performance and operating conditions of public schools in the São Paulo Metropolitan Region is obtained. The CEM schools app can be accessed freely at: http://centrodametropole.org.br/escolas/"|Schools dataset of the Metropolitan Region of São Paulo|ESC2013_RMSP_CEM.zip|2013|01/01/2016
37|Public Schools - Georeferenced dataset in the Metropolitan Region of São Paulo, from the school census of 2001.|Cartographic|Education|Department of Education of the São Paulo State#Schools Census|"Organized information from the School Census 2001 (INEP / MEC) and georeferenced by SEADE (partnership with Center for Metropolitan Studies).

The following information is found by school:

- General cadastral information (number of students in different classes and levels of education);

- Infrastructure of schools (equipment and others);

- Qualification of teachers at different levels of education;

- Average hit a school in the proof of Portuguese Language SARESP 2001 (based on information from the State Department of Education of the State of São Paulo). 

For more information about the School Census, please visit the INEP (www.inep.gov.br)."|Dataset#Variables Dictionary#Documentation|ESC2001.rar#Dicionario.pdf#LEIAME.pdf|2001|01/01/2001
38|ELECTIONS 1994-2010|Cartographic|Elections|TSE|The Center for Metropolitan Studies makes available new and expanded data on elections in Brazil between 1994 and 2010 They are the election results for president, governors, senators, federal and state legislators aggregated by county, for the entire country. The results are available both in absolute numbers and as a proportion of votes calculated based on the aggregation of attendance of each election. Accompany these data, the corresponding dictionaries with information about the variables, a file with the base map of the municipalities of the country, besides the table with the Brazilian political parties in the period 1994-2010.|Electoral results of the Metropolitan Region of São Paulo from 1994 to 2006|CEMDadosEleitorais_shape.rar|1994-2010|01/01/2010
39|ELECTIONS 1994-2010|No Cartographic|Elections|TSE|The Center for Metropolitan Studies makes available new and expanded data on elections in Brazil between 1994 and 2010 They are the election results for president, governors, senators, federal and state legislators aggregated by county, for the entire country. The results are available both in absolute numbers and as a proportion of votes calculated based on the aggregation of attendance of each election. Accompany these data, the corresponding dictionaries with information about the variables, a file with the base map of the municipalities of the country, besides the table with the Brazilian political parties in the period 1994-2010.|"Absolute data of vote by municipality, from 1994 to 2010#Proportional data of vote by municipality, from 1994 to 2010#
Dictionary for Absolute Voting Data by municipality, from 1994 to 2010#
Dictionary for Proportional Data of vote by municipality, from 1994 to 2010#
Digital dataset cartographic of municipalities in Brazil"|CEM_Vot_Mun_94-10_ABS.xlsx#Dicionario_CEM-Vot_Mun_94-10_ABS.pdf#Dicionario_CEM-Vot_Mun_94-10_PROP.pdf#MunBr10_CEM.rar#tabela_de_partidos_politicos_brasileiros_1994_a_2010_cem.xlsx|1994-2010|01/01/2010
40|Companies - Central Register of Enterprises (IBGE, 2000)|Cartographic|Companies and Estructures|IBGE|"Companies have a source of information for its database the Central Register of Enterprises (IBGE, 2000). This database contains the registration data of the companies formally constituted in the Metropolitan Region of São Paulo, and ""December 1999"" the year / month of reference.

For detailed information on the methodology used in the design of the Central Register of Companies, please visit IBGE's website (www.ibge.gov.br) and visit the page of the Central Register of Enterprises from ""Economy"" menu.

On the website of the Center for Metropolitan Studies the visitor can find the project report ""Economic Development Strategies for the Central Region of the SP City"", which addresses, among other things, the distribution of enterprises by sector of economic activity in central city SP."|Database#Variables Dictionary#CNAE Codes|empresas.rar#Dic_empresas.pdf#cnae_codigos.xls|2000|01/01/2002
41|"Georeferenced digital cartography of the 
health establishments of the RMSP"|Cartographic|Health|National Registry of Health Establishments - CNES - of the Ministry of Health#DataSUS|"The files presented here contain the georeferenced digital cartography of the 
health establishments public and private of the São Paulo Metropolitan Region in the year 2016, having as original source information contained in the National Register of Health Establishments - CNES - of the Ministry of Health. The original data was received in tabular database format. These databases were then standardized and georeferenced by the CEM Technology Transfer Team.

This file contains geocoded records and a database containing information from health establishments, such as: name, address, characterization, activity, type of care, hours of care, among others. All 39 municipalities in the Metropolitan Region of São Paulo were included in this database.

The original CNES file contained 23,306 registered establishments, but 20 of them were not found in any of the stages of geocoding. The database is available here - ""SAU2016_CEM_RMSP"" - has 23,286 health establishments."|Health establishments of the Metropolitan Region of São Paulo|SAU2016_CEM_RMSP.zip|2016|01/01/2016
42|Shapefiles of the commercial real estate launches|Cartographic|Housing|Embraesp|This database enables the investigation about the dynamics of the commercial real estate production in Sao Paulo´s Metropolitan Region and over the past 28 years. It brings together information about how (in price, size, number of parking spaces) and where (municipality, district, geographic coordinates) the enterprises have been build. It is an excellent resource for researchers in urban policies, especially for those who are dedicated to study the real estateindustry and its regulation by municipalities, appointed as one of the major cause of unplanned growth and spatial segregation in Brazilian cities. This database it is a qualitative improvement and an extension of information on commercial developments in São Paulo and the Metropolitan Region of São Paulo, systematized by Empresa Brasileira de Patrimônio (Embraesp) between 1985 and 2013.|"
Commercial Real Estate Launches between 1985 and 2013 RMSP"|Empreendimentos_Comerciais_1985_2013_CEM.rar|1985-2013|01/01/2015
43|Shapefiles of the residential real estate launches|Cartographic|Housing|Embraesp|"Data on qualitative improvement and expansion of information on residential real estate launches in the Metropolitan Region of São Paulo, systematized by the Brazilian Heritage Company (Embraesp) in the period between 1985 and 2013. The objective is to support geostatistical, urban economy and policy research as part of a broad research project on the governance patterns that permeate the relationship between State and sectors outside the State interested in conducting urban public policies, such as the real estate sector. 

Among the improvements made by the CEM team, the bank brings the georeferencing of buildings and houses, the correction and monetary updating, the standardization of the name of the main incorporating companies of each enterprise and several geographic operations that allow the crossing of the information of the launches with data of the companies. Censuses (1991, 2000 and 2010). The variables added to the bank and the method used for the work are indicated in the Variable Dictionary, which accompanies the data set. 

This database allows us to advance in the understanding of the dynamics of the residential real estate sector, being able to respond as (in price, size, number of dormitories and parking spaces) and where (by municipality, district, geographic coordinate ) has been offering residential properties in São Paulo and Metropolitan Region over the last 28 years. It is an excellent resource for researchers on urban issues, especially those who study the real estate sector and its regulation by the municipalities, which has been problematized as one of the main causes of disordered growth and spatial segregation in the Brazilian metropolises."|"
Residential Developments between 1985 and 2013 RMSP CEM"|LanRes_85-13_RMSP_CEM.zip|1985-2013|01/01/2015
44|"
Territorial boundaries of Brazil - Regions, States and Municipalities 2013 - Digital Cartographics Bases Georeferenced"|Cartographic|Territorial Division|IBGE|Elaborated under the coordination of geographer José Donizete Cazzolato, the files presented here originate from databases made available on the IBGE website in 2005. In successive editions, these files were updated and improved with the use of new databases that IBGE made available. (especially the census tracts 2010) as well as images posted on the internet (such as Google Earth) and other sources of information. Many adaptations of the municipal boundaries to the shoreline shortages have been made, shifting them, in certain cases, from the axis of bays or canals, which resulted in polygons more adjusted to the actual territorial territorial contours. Detailed information can be checked in the dictionary that integrates the rar file|Territorial Limits of Brazil 2013 CEM|Limites_Territoriais_do_Brasil_2013_CEM.rar|2013|01/01/2013
