id|titulo|tipos|temas|fontes|descricao_do_conjunto_de_dados|descricao_do_tipo_de_arquivo|nome_arquivo|data_ref|data_lancamento
11|Shapefile dos Setores Censitários 2010 RM Belém SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Belém#Descrição dos Arquivos|RM_Belem_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
12|Shapefile dos Setores Censitários 2010 RM Belo Horizonte SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Belo Horizonte#Descrição dos Arquivos|RM_Belo_Horizonte_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
13|Shapefile dos Setores Censitários 2010 RM Campinas SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Campinas#Descrição dos Arquivos|RM_Campinas_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
14|Shapefile dos Setores Censitários 2010 RM Curitiba SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Curitiba#Descrição dos Arquivos|RM_Curitiba_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
15|Shapefile dos Setores Censitários 2010 RM Distrito Federal SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Distrito Federal#Descrição dos Arquivos|RM_Distrito_Federal_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
16|Shapefile dos Setores Censitários 2010 RM Florianópolis SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Florianópolis#Descrição dos Arquivos|RM_Florianopolis_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
17|Shapefile dos Setores Censitários 2010 RM Fortaleza SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Fortaleza#Descrição dos Arquivos|RM_Fortaleza_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
18|Shapefile dos Setores Censitários 2010 RM Goiânia SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Goiânia#Descrição dos Arquivos|RM_Goiania_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
19|Shapefile dos Setores Censitários 2010 RM João Pessoa SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de João Pessoa#Descrição dos Arquivos|RM_Joao_Pessoa_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
20|Shapefile dos Setores Censitários 2010 RM Maceió SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Maceió#Descrição dos Arquivos|RM_Maceio_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
21|Shapefile dos Setores Censitários 2010 RM Manaus SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Manaus#Descrição dos Arquivos|RM_Manaus_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
22|Shapefile dos Setores Censitários 2010 RM Natal SC2010_CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Natal#Descrição dos Arquivos|RM_Natal_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
23|Shapefile dos Setores Censitários 2010 RM Porto Alegre SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Porto Alegre#Descrição dos Arquivos|RM_Porto_Alegre_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
24|Shapefile dos Setores Censitários 2010 RM Recife SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Recife#Descrição dos Arquivos|RM_Recife_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
25|Shapefile dos Setores Censitários 2010 RM Rio de Janeiro SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Rio de Janeiro#Descrição dos Arquivos|RM_Rio_de_Janeiro_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
26|Shapefile dos Setores Censitários 2010 RM Salvador SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Salvador#Descrição dos Arquivos|RM_Salvador_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
27|Shapefile dos Setores Censitários 2010 RM São Luís SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de São Luis#Descrição dos Arquivos|RM_Sao_Luis_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
28|Shapefile dos Setores Censitários 2010 RM São Paulo SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de São Paulo#Descrição dos Arquivos|RM_Sao_Paulo_SC2010_V3_CEM.zip#DescricaoSC.pdf|2010|01/01/2013
29|Shapefile dos Setores Censitários 2010 RM Teresina SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Teresina#Descrição dos Arquivos|RM_Teresina_sc2010_CEM.rar#DescricaoSC.pdf|2010|01/01/2013
30|Shapefile dos Setores Censitários 2010 RM Vitória SC2010 CEM|cartográfico|Censo Demográfico 2010|IBGE|Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.|Setores Censitários de Vitória|RM_Vitoria_sc2010_CEM.rar|2010|01/01/2013
31|Distritos da Região Metropolitana de São Paulo|cartográfico|Divisão Territorial|IBGE||Contornos perimétricos e dados dos 162 distritos da RMSP (shape), obtidos conforme quadro político-administrativo de 01/01/2001. Edição: junho de 2007#Figuras do Município de SP (jpg) dividido em Distritos + planilha com dados|CEMdistritos_shape.rar#DistritosSAO.rar|2010|01/01/2013
32|Municípios da Região Metropolitana de São Paulo|cartográfico|Divisão Territorial|IBGE||Contornos perimétricos e dados dos 39 distritos da RMSP (shape), obtidos conforme quadro político-administrativo de 01/01/2001. Edição: junho de 2007#Figuras da RMSP (jpg) dividida em municípios and planilha com dados|CEMmunic_shape.rar#MunicipiosRM.rar|2000|01/01/2004
33|Setores CEP da Região Metropolitana de São Paulo|cartográfico|Divisão Territorial|Secretaria de Transporte do Municipio de São Paulo#Base de CEPs do correio||Contornos perimétricos e dados de 97 setores e subsetores do CEP - Código de Endereçamento Postal (shape). Edição: junho de 2007.|CEMcep_shape.rar|2000|01/01/2004
34|Subprefeituras da Região Metropolitana de São Paulo|cartográfico|Divisão Territorial|IBGE||Contornos perimétricos e dados das 31 Subprefeituras do município de São Paulo (shape), conforme lei municipal 13.682/2003. Edição: junho de 2007.#Figuras do Município de São Paulo (jpg) dividido em Subprefeituras + planilha com dados.|CEMsubpref_shape.rar#SubprefSAO.rar|2003|01/01/2007
35|Base Cartográfica de Favelas|não cartográfico|Habitação|Secretaria de Habitação do Municipio de São Paulo|Em fevereiro de 2003, o CEM e a Secretaria da Habitação e Desenvolvimento Urbano da Prefeitura Municipal de São Paulo lançaram CD-Rom com a Base Cartográfica digital das favelas do Município de São Paulo que é o cadastro oficial de favelas do Município. O trabalho é o produto de uma parceria de transferência de tecnologia entre as duas instituições. Para outras informações sobre favelas, consulte também os artigos disponíveis na biblioteca deste site. O arquivo contém um sistema de consulta cartográfica às favelas do Município, texto analítico com a metodologia utilizada e estimativas populacionais e as bases cartográficas digitais das favelas do Município.|Maptitude#ArcView#Autocad Map#Excel|Maptitude.zip#ArcView.zip#AutoCAD_Map.zip#Microsoft_Excel.zip|2003|01/01/2003
36|Base Cartográfica Digital Georreferenciada das Escolas da RMSP|cartográfico|Educação|Secretaria de Educação do Estado de São Paulo#Censo Escolar|A base de escolas traz arquivos contendo cartografia digital georreferenciada das escolas públicas e privadas da Região Metropolitana de São Paulo, tendo como fonte original informações constantes do Censo Escolar 2013 (INEP/MEC). Os dados originais foram recebidos no formato de bancos de dados tabulares. Estes bancos de dados foram, então, padronizados e georreferenciados pela Equipe de Transferência de Tecnologia do CEM. O georreferenciamento consiste na atribuição de coordenadas geográficas a cada registro do banco de dados tabular, por meio de operações realizadas num ambiente de Sistema de Informações Geográficas (SIG). Este processo utiliza a base de logradouros georreferenciada do CEM que, num ambiente de SIG, realiza a vinculação de endereços a um sistema de coordenadas geográficas, expresso geralmente em latitude e longitude. Esta base de dados foi utilizada no aplicativo sobre Escolas, formulado especialmente para o público em geral, onde são obtidas informações sobre o desempenho e as condições de operação das escolas públicas da Região Metropolitana de São Paulo. O app escolas do CEM pode ser acessado livremente no site: http://centrodametropole.org.br/escolas/|Base de escolas da Região Metropolitana de São Paulo|ESC2013_RMSP_CEM.zip|2013|01/01/2016
37|Escolas Públicas - Bases de dados georreferenciadas da Região Metropolitana de São Paulo, a partir do censo escolar de 2001.|cartográfico|Educação|Secretaria de Educação do Estado de São Paulo#Censo Escolar|"Informações organizadas a partir do Censo Escolar de 2001 (INEP/MEC) e georreferenciadas pela Fundação SEADE (parceira do Centro de Estudos da Metrópole).
São encontradas as seguintes informações por escola:
- Informações cadastrais gerais (número de alunos e de classes nos diferentes níveis de ensino)#
- Infra-estrutura das escolas (equipamentos disponíveis, entre outros)#
- Qualificação dos professores nos diferentes níveis de ensino#
- Média de acerto por escola na prova de Língua Portuguesa do SARESP de 2001 (com base nas informações da Secretaria Estadual de Educação do Estado de São Paulo). Para mais informações sobre o Censo Escolar, visite o website do INEP (www.inep.gov.br)."|Base de dados#Dicionário de variáveis#Documentação#Dicionário de variáveis#Documentação|ESC2001.rar#Dicionario.pdf#LEIAME.pdf|2001|01/01/2001
38|Eleições 1994-2010|não cartográfico|Eleições|TSE|O Centro de Estudos da Metrópole disponibiliza dados novos e ampliados referentes às eleições no Brasil entre 1994 e 2010. São os resultados das eleições para presidente, governadores, senadores, deputados federais e estaduais agregados por município, para todo o país. Estão disponíveis os resultados tanto em número absoluto de votos como em proporção calculada com base na totalização do comparecimento de cada eleição. Acompanham estes dados, os dicionários correspondentes com as informações sobre as variáveis, um arquivo com a base cartográfica dos municípios do país, além da tabela com os partidos políticos brasileiros no período de 1994 a 2010.|Resultados eleitorais da Região Metropolitana de São Paulo de 1994 a 2006|CEMDadosEleitorais_shape.rar|1994-2010|01/01/2010
