id|tipo_publicacao_en|texto_publicacao_evento|ano_publicacao_evento|link_externo|link_text|arquivo_anexo|titulo|autor|imagem_capa
11|Paper|MARQUES, Eduardo e BICHIR, Renata M. - State and urban space - Revisiting critically the current explanations about state policies urban (download arquivo - 754 KB) - Revista de Sociologia e Política, nº 16 -Department of Social Sciences, Federal University of Parana, 2001.|2001|||curitiba_marques_bichir.pdf|State and urban space - Revisiting critically the current explanations about state policies urban||
12|Paper|MARQUES, Eduardo e BICHIR, Renata M. - State and urban infrastructure in São Paulo 1978/98 (download arquivo - 321 KB) - Article that won 3rd place in the competition for young researchers’ articles on urban and regional themes, sponsored by the journal “International Journal of Urban and Regional Research,” 2001.|2001|||ijurr_marques_bichir.pdf|State and urban infrastructure in São Paulo 1978/98||
13|Paper|MARQUES, Eduardo e BICHIR, Renata M. - Patterns of state investments in road infrastructure in São Paulo 1978-98 (download arquivo - 270 KB) - São Paulo in Perspective, Fundação SEADE Journal, vol 15 nº 1, 2001.|2001|||spper_marques_bichir.pdf|Patterns of state investments in road infrastructure in São Paulo 1978-98||
14|Paper|ALMEIDA, Ronaldo de; MONTERO, Paula. The religion traffic in Brazil (download arquivo - 158 KB). São Paulo e Perspectiva, Revista da Fundação SEADE, volume 15/n.3/Jul-Set, 2001.|2001|||ronaldo_almeida2.pdf|The religion traffic in Brazil||
15|Paper|TORRES, Haroldo da Gama e OLIVEIRA, G.C. Primary education and residential segregation in the Municipality of São Paulo: a study using geographic information systems (Download arquivo - 283 KB) Paper presented at the seminar “Segregation in The City.” Cambridge, USA, Lincoln Institute of Land Police, 2001.|2001|||torres_coelho.pdf|Primary education and residential segregation in the Municipality of São Paulo: a study using geographic information systems||
16|Paper|COMIN, A., CARDOSO, A., GUIMARÃES, N. A. Os deserdados da indústria: reestruturação produtiva e trajetórias intersetoriais de trabalhadores demitidos da indústria brasileira. Revista Latinoamericana de Estudios del Trabajo. (Buenos Aires: ALAST) n. 13, July/December, 2001, pp. 17-52.|2001||||Os deserdados da indústria: reestruturação produtiva e trajetórias intersetoriais de trabalhadores demitidos da indústria brasileira.||
17|Paper|GUIMARÃES, Nadya Araújo. Laboriosas, mas redundantes: gênero e mercado de trabalho no Brasil dos 90. Revista Estudos Feministas, vol.9, n. 1, 2001.|2001|||208-Laboriosas_Nadya.pdf|Laboriosas, mas redundantes: gênero e mercado de trabalho no Brasil dos 90.||
18|Paper|GUIMARÃES, N. A.Os desafios da eqüidade: reestruturação e desigualdades de gênero e raça no Brasil. Cadernos Pagu (Campinas: UNICAMP), n. 17-18, 2001-2002, pp. 237-266.|2001||||Os desafios da eqüidade: reestruturação e desigualdades de gênero e raça no Brasil.||
19|Dissertation|BIDERMAN, Ciro - 2001. Forces of attraction and expulsion in the greater Sao Paulo. ( download here - 6.222 KB) - Doctoral Thesis in Business Economics, School of Business Administration of Sao Paulo (FGV) - São Paulo.|2001|||biderman.pdf|Forces of attraction and expulsion in the greater Sao Paulo||
20|Dissertation|LAVALLE, Adrián Gurza - 2001. Space and public life: theoretical reflections and thoughts on the Brazilian. (download here - 1.188 KB) Ph.D. dissertation in Political Science, School of Philosophy, Literature and Human Sciences (USP) - São Paulo.|2001|||Adrian.pdf|Space and public life: theoretical reflections and thoughts on the Brazilian.||
21|Presentation|MARQUES, Eduardo e BICHIR, Renata M. - State and contractors II: permeability and urban policies in São Paulo (1978-98) (download arquivo - 180 KB) - III ABCP Meet, held in Niterói - RJ, 2002.|2002|||ABCP_2002.pdf|State and contractors II: permeability and urban policies in São Paulo (1978-98)||
22|Presentation|MARQUES, Eduardo e BICHIR, Renata M. - Ideological cleavages and private companies in urban public investments - São Paulo 1978/98 (download arquivo - 179 KB) - XXV Annual ANPOCS Meet, held in Caxambú-MG - Journal of Social Science, N° 50, 2002.|2002|||anpocs2001_marques_bichir.pdf|Ideological cleavages and private companies in urban public investments - São Paulo 1978/98||
23|Paper|ALMEIDA, H. B. - Melodrama Comercial – reflexões sobre a feminilização da telenovela Cadernos Pagu. Campinas, n. 19, 2002, pp. 171-194.|2002|http://www.scielo.br/scielo.php?pid=S0104-83332002000200008&script=sci_arttext|Source||Melodrama Comercial – reflexões sobre a feminilização da telenovela Cadernos Pagu.||
24|Paper|TORRES, Haroldo da Gama e MARQUES, E . - Population size of the São Paulo slums. Or large numbers and the bankruptcy of the debate on the mainland (download arquivo - 225 KB) - Paper for presentation at the Meeting of the Brazilian Association for Population Studies - Caxambu - MG, 2002.|2002|||abep2002.pdf|Population size of the São Paulo slums. Or large numbers and the bankruptcy of the debate on the mainland||
25|Paper|"LEITE, Elenice M. Final research report (download arquivo - 510 KB) Youth Group, Project ""Unemployment: Institutional and biographical approach: a comparison between Brazil, France, Japan"", USP/CEM/SEADE/CEBRAP, 2002."|2002|||Relatorio_jovens_Nadya-final.pdf|"Final research report. Youth Group, Project ""Unemployment: Institutional and biographical approach: a comparison between Brazil, France, Japan"""||
26|Paper|ALONSO, Angela e COSTA, Valeriano - For a sociology of environmental conflicts in Brazil (download arquivo - 212 KB) - in Alimonda, Héctor (Org.) Ecologia Política. Naturaleza, Sociedad y Utopia, Buenos Aires, CLACSO, 2002.|2002|||Angela.pdf|For a sociology of environmental conflicts in Brazil||
27|Paper|ALONSO, A. and COSTA, V. Social Sciences and Environment in Brazil: a bibliographic review. Journal of Bibliographic Information on Social Sciences – BIB. São Paulo: ANPOCS, n. 53, 2002, pp. 35-78.|2002|http://www.anpocs.org/portal/index.php?option=com_docman&task=cat_view&gid=131&Itemid=435|Source||Social Sciences and Environment in Brazil: a bibliographic review. Journal of Bibliographic Information on Social Sciences||
28|Paper|TORRES, Haroldo da Gama - Migration and the environment: A view from the Brazilian Metropolitan areas In: Hogan, D., Berquó, E. and COSTA, H.M. Population and Environment in Brazil . Campinas, CNPD/ABEP/NEPO.(download arquivo - 100 KB), 2002.|2002|||ldan_haroldo2.pdf|Migration and the environment: A view from the Brazilian Metropolitan areas||
29|Paper|TORRES, Haroldo da Gama; Marques, Eduardo; Ferreira, Maria Paula; Bitar, Sandra. Poverty and Space: Patterns of Segregation in São Paulo. (Download arquivo - 330 KB) - Paper presented at the seminar Spatial Segregation in Latin America. Austin, Texas. November 15-16, 2002.|2002|||marques.pdf|Poverty and Space: Patterns of Segregation in São Paulo.||
30|Paper|TORRES, Haroldo da Gama - Social policies for the urban poor: the role of population information (download arquivo - 333 KB) - UNFPA Country Support Team for Latin America and the Caribbean - Working Papers Series CST/ LAC Nº 24, 2002.|2002|||torres_unfpa.pdf|Social policies for the urban poor: the role of population information||
31|Paper|ARRETCHE, M. e MARQUES, E. Municipalization health in Brazil: regional differences, the voting power and government strategies. In: Science and Public Health Journals, vol. 7, No 3, 2002.|2002|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232002000300006&lng=pt&nrm=iso|Source||Municipalization health in Brazil: regional differences, the voting power and government strategies.||
32|Paper|ARRETCHE, Marta. Federalismo e Relações Intergovernamentais no Brasil: A Reforma dos Programas Sociais (versão revista). Dados, 45(3), p. p. 431-458, 2002.|2002|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582002000300004&lng=pt&nrm=iso&tlng=pt|Source||Federalismo e Relações Intergovernamentais no Brasil: A Reforma dos Programas Sociais (versão revista)||
33|Paper|"CEM, CEBRAP, EMURB - Diagnosis of current situation - Step 1 ( download arquivo - 578 KB ) - Project ""Economic development strategies for the central area of São Paulo"" - São Paulo, research report, module 1, 2002."|2002|||centro_SP.pdf|Diagnosis of current situation - Step 1||
34|Paper|COELHO, V. S. P., PEDROSO, M. “Distribution of Public Health Services in São Paulo,” Novos Estudos. São Paulo: CEBRAP, n. 64, November 2002, pp. 141-152.|2002||||Distribution of Public Health Services in São Paulo||
35|Paper|FIGUEIREDO, A. C., LIMONGI, F., FERREIRA, M. P. and SILVA, P. H. Parties and spatial distribution of votes in Sao Paulo in 1990.Revista Novos Estudos. São Paulo: Cebrap, n. 64, November 2002, pp. 153-160.|2002|||274-20090504_participacao_e_distribuicao.pdf|Parties and spatial distribution of votes in Sao Paulo in 1990||
36|Paper|TORRES, Haroldo da Gama; Marques, Eduardo; Ferreira, Maria Paula; Bitar, Sandra. Poverty and Space: Patterns of Segregation in São Paulo. (Download arquivo - 330 KB) Paper presented at the seminar “Spatial Segregation in Latin America.” Austin, Texas. November 15-16, 2002.|2002|||texas.pdf|Poverty and Space: Patterns of Segregation in São Paulo||
37|Paper|GURZA LAVALLE, Adrián. La sociedad civil: disputa simbólica y transformaciones de la acción social en Brasil. Veredas, Revista de Pensamiento Sociologico. UAM-Xochimilco, v. 3, n. 4-5, 2002, pp. 239-53.|2002||||La sociedad civil: disputa simbólica y transformaciones de la acción social en Brasil.||
38|Paper|GURZA LAVALLE, Adrián; HOUTZAGER, P.; COLLIER, R.; HARRIS, J. Rights, representation and the poor: comparisons across Latin America and India. Londres Working Papers Series. Londres: IDS-London School of Economics and Political Science n. 02-31, July 2002.|2002||||Representation and the poor: comparisons across Latin America and India.||
39|Paper|DEMAZIÈRE, D.; GUIMARÃES, N. A; HIRATA, H.; MONTAGNER, P.; PIGNONI, M. T.; SUGITA, K. A comparison of unemployment in France, Brazil and Japan: an overview of the methodology and preliminary statistical results. Bulletin (Tokyo: Japan Statistics Research Institute), n. 29, December 2002, p. 101-158.|2002||||A comparison of unemployment in France, Brazil and Japan: na overview of the methodology and preliminary statistical results||
40|Paper|GUIMARÃES, N. A. Le sexe de la mobilité: le cas du travail industriel brésilien des années 1990. Travail, Genre et Sociétés (Paris: Harmattan) n. 7, February 2002, pp. 125-145.|2002||||Le sexe de la mobilité: le cas du travail industriel brésilien des années 1990.||
41|Paper|GUIMARÃES, N. A. Por uma sociologia do desemprego: contextos societais, construções normativas e experiências subjetivas. Revista Brasileira de Ciências Sociais (São Paulo: ANPOCS), v. 17, 2002, pp. 103-122.|2002||||Por uma sociologia do desemprego: contextos societais, construções normativas e experiências subjetivas.||
42|Paper|GUIMARÃES, N. A.; COMIN. A. Vicissitudes do trabalho no Brasil dos anos 1990: mobilidade setorial, diversidades de gênero e acesso ao seguro desemprego.Políticas Sociais (Chile: CEPAL), vol II, pp. 11-32, 2002.|2002||||Vicissitudes do trabalho no Brasil dos anos 1990: mobilidade setorial, diversidades de gênero e acesso ao seguro desemprego.||
43|Paper|"LEITE, Elenice M . Relatório final de pesquisa. Grupo Jovem, Projeto ""Desemprego: abordagem institucional e biográfica: uma comparação Brasil, França, Japão, USP/CEM/SEADE/CEBRAP, 2002."|2002|||210-Relatorio_jovens_Nadya-final.pdf|"Relatório final de pesquisa. Grupo Jovem, Projeto ""Desemprego: abordagem institucional e biográfica: uma comparação Brasil, França, Japão"||
44|Paper|ALMEIDA, Heloisa B. Ficção como vitrine: a telenovela na promoção do consumo. Novos Estudos. São Paulo: Cebrap, n. 66, July 2003, pp. 179-190.|2003|||471-20080627_ficcao_como_vitrine.pdf|Ficção como vitrine: a telenovela na promoção do consumo||
45|Paper|"HAMBURGER, E. I. ""Politics of Representation: Television in a São Paulo Favela”. Framework, Spring 2003, vol. 44, n. 1, pp. 104-115."|2003||||Politics of Representation: Television in a São Paulo Favela||
46|Paper|TORRES, Haroldo da Gama, MARQUES, Eduardo e SARAIVA, Camila - Slums in São Paulo: population estimates for the years 1991, 1996 and 2000 (download arquivo - 398 KB) - Paper presented at the X meeting of the National Association of Urban and Regional Planning (ANPUR) - Belo Horizonte -MG - Brazilian Magazine of Urban and Regional Studies , vol 5, nº 1, 2003.|2003|||anpur2003_RBEUR.pdf|Slums in São Paulo: population estimates for the years 1991, 1996 and 2000||
47|Paper|TORRES, Haroldo da Gama; MARQUES, Eduardo; FERREIRA, Maria Paula; BITAR, Sandra. - Poverty and Space: patterns of segregation in São Paulo. (Download arquivo - 255 KB) - Article published in the Journal of the Institute for Advanced Studies, IEA - USP 17 (47), 2003.|2003||||Poverty and Space: patterns of segregation in São Paulo.||
48|Paper|ARRETCHE, Marta. Presentation: Brief Agenda for Research on Public Policy, in: Brazilian Social Science Journal: (18)51: 7-9, 2003.|2003|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092003000100001&lng=en&nrm=iso|Source||Presentation: Brief Agenda for Research on Public Policy||
49|Paper|ARRETCHE, Marta. Federal Funding and Local Management of Social Policies: the balance between regulation, responsibility and autonomy, in: Collective Science and Health, 8 (2): 331-345, 2003.|2003|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232003000200002&lng=pt&nrm=iso|Source||Federal Funding and Local Management of Social Policies: the balance between regulation, responsibility and autonomy||
50|Paper|TORRES, Haroldo da Gama; MARQUES, Eduardo; FERREIRA, Maria Paula; BITAR, Sandra. Poverty and space: patterns of segregation in São Paulo. (Download arquivo - 255 KB) Article published in the Journal of the Institute for Advanced Studies, IEA - USP 17 (47), 2003.|2003|||artigoIEA.pdf|Poverty and space: patterns of segregation in São Paulo.||
51|Paper|GURZA LAVALLE, Adrián. Cidadania, igualdade e diferença. Revista Lua Nova. São Paulo: CEDEC, 2003.|2003||||Cidadania, igualdade e diferença. Revista Lua Nova||
52|Paper|GURZA LAVALLE, Adrián. Sem pena nem glória: o debate da sociedade civil nos anos 1990. Novos Estudos. São Paulo: Cebrap, n. 66, July 2003, pp. 91-110.|2003||||Sem pena nem glória: o debate da sociedade civil nos anos 1990.||
53|Paper|GURZA LAVALLE, Adrián.; HOUTZAGER, P. P.; ACHARYA, A. Who participates? Civil Society and the New Democratic Politics in São Paulo, Brazil. IDS, Working Paper 210, September 2003.|2003||||Who participates? Civil Society and the New Democratic Politics in São Paulo, Brazil||
54|Paper|COMIN, Alvaro A.; VASCONCELOS-OLIVEIRA, Maria Carolina. Southern Cities: Locomotives or Wagons of National Development?Economic sociology_the European electronic newsletter, v. 11, n.2, p. 31-38, 2010.|2003|https://docs.google.com/viewer?url=http://econsoc.mpifg.de/archive/econ_soc_11-2.pdf|Source||Southern Cities: Locomotives or Wagons of National Development?||
55|Paper|COMIN, A. Migrações entre o formal e o informal: um survey com trabalhadores.In: Descaminhos no Mercado de Trabalho: Transições Ocupacionais e Mobilidade Social. Salvador: Superintendência de Estudos Econômicos e Sociais da Bahia, Série “Estudos e Pesquisas”, n. 66, 2003, pp. 63-78.|2003|||201-Migracoes.pdf|Migrações entre o formal e o informal: um survey com trabalhadores||
56|Paper|COMIN, A., AMITRANO, C. Economia e emprego: a trajetória recente da região metropolitana de São Paulo. Novos Estudos. São Paulo: Cebrap, n. 66, July 2003, pp. 53-76.|2003|||202-COMIN_AMITRANO_Economia-e-Emprego.pdf|Economia e emprego: a trajetória recente da região metropolitana de São Paulo||
57|Paper|GEORGES, I. L'enquête par observation dans une perspective comparative: comment se trouver un statut et se faire accepter.Cahiers d’Amerique Latine. Paris: IHEAL, n. 42 (Special Dossier “Amérique Latine: Terrains d’enquête”), 2003, p. 55-68.|2003||||L'enquête par observation dans une perspective comparative: comment se trouver un statut et se faire accepter.Cahiers d’Amerique Latine||
58|Paper|GUIMARÃES, N. A. Los desafíos de la equidad: reestructuración y desigualdades de género y raza en Brasil.Revista Mexicana de Sociología, Instituto de Investigaciones Sociales. (México: IIS/UNAM), ano 65, n. 4, October-December 2003, pp. 763-787.|2003||||Los desafíos de la equidad: reestructuración y desigualdades de género y raza en Brasil.Revista Mexicana de Sociología, Instituto de Investigaciones Sociales||
59|Book Chapter|ALMEIDA, Ronaldo de.  La guerre des possessions. In: Corten, André; Oro, Ari Pedro (orgs.). Les nouveaux conquerants de la foi. Une église brésilienne à prétention universelle. Paris, Karthala. 2003. |2003|||ronaldo_almeida1.pdf|La guerre des possessions.||
60|Thesis|PEDROSO, Marcel - 2003. Human Development in São Paulo- 2000: cartography as a socio-economic contribution to public policy planning ( download file - 6.020 KB) – Dissertation in Political Economy, University of São Paulo (USP) - São Paulo.|2003|||IDH-M_marcel_pedroso.pdf|Human Development in São Paulo- 2000: cartography as a socio-economic contribution to public policy planning||
61|Paper|BOTELHO, Isaura - Os equipamentos culturais na cidade de São Paulo: um desafio para a gestão pública ( download arquivo - 280 KB ) - in Espaço e Debates - Revista de Estudos regionais e urbanos - n.43/44 São Paulo, 2004.|2004|||espaco_debates.pdf|Os equipamentos culturais na cidade de São Paulo: um desafio para a gestão pública||
62|Paper|ALMEIDA, R. R. M. e D´ANDREA, Tiarajú - Poverty and Social Networks in a Sao Paulo Slum . Novos Estudos, São Paulo, v. 68, p. 94-106, 2004.|2004|||Art_Ronaldo_Tiaraju.pdf|Poverty and Social Networks in a Sao Paulo Slum||
63|Paper|MARQUES, Eduardo e SARAIVA, Camila - The social dynamics of the slums in the Metropolitan Region of São Paulo (download arquivo - 285 KB ) - Seminário sobre estrutura social e segregação espacial – São Paulo, Rio de Janeiro e Paris, São Paulo - SP, 2004.|2004|||favelas_edu.pdf|The social dynamics of the slums in the Metropolitan Region of São Paulo||
64|Paper|ALONSO, A. e COSTA, V. The dynamics of public hearings for environmental licensing: the case of the São Paulo ring road. Cornwall, Andrea e Coelho, Vera Schattan (ed.). New Democratic Spaces? IDS Bulletin. V. 35, No. 2, 2004.|2004|http://www.cebrap.org.br/v1/template.php?area=7&pagina=31&item_biblio=85|Source||The dynamics of public hearings for environmental licensing: the case of the Sao Paulo ring road||
65|Paper|MARQUES, Eduardo - Space and social groups at the turn of century (download arquivo - 988 KB) -Seminar on social structure and spatial segregation – São Paulo, Rio de Janeiro e Paris, São Paulo - SP, 2004.|2004|||grupos_edu.pdf|Space and social groups at the turn of century||
66|Paper|TORRES, Haroldo da Gama e MARQUES, E. - Poverty and spatial distribution of social groups in the metropolis of São Paulo (download arquivo - 630 KB) Cadernos Adenauer, 2004, no prelo, São Paulo-SP.|2004|||Adenauer-ed-har.pdf|Poverty and spatial distribution of social groups in the metropolis of São Paulo||
67|Paper|ARRETCHE, Marta e RODDEN, Jonathan. Política Distributiva na Federação: Estratégias Eleitorais, Barganhas Legislativas e Coalizões de Governo. Dados, 2004, v. 47, n.3.|2004|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0011-52582004000300004&lng=en&nrm=iso&tlng=pt|Source||Política Distributiva na Federação: Estratégias Eleitorais, Barganhas Legislativas e Coalizões de Governo||
68|Paper|ARRETCHE, Marta. Federalismo e políticas sociais no Brasil: problemas de coordenação e autonomia. São Paulo em Perspectiva, v.18, n.2, São Paulo Apr./June 2004, p. p. 17-26.|2004|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392004000200003|Source||Federalismo e políticas sociais no Brasil: problemas de coordenação e autonomia.||
69|Paper|MARQUES, Eduardo - Evaluation of social policies and the functioning of the state (in theory and in practice) (download arquivo - 52 KB) - Work originally presented at the XXVIII Meeting of Anpocs, 2004.|2004|||1254-mesaavaliacaoEduMarques_2004.pdf|Evaluation of social policies and the functioning of the state (in theory and in practice)||
70|Paper|TORRES, Haroldo da Gama e MARQUES, E.  Social Policy and Planning: An Approach Metropolitan. São Paulo in Perspective Journal, v.18, n.4, São Paulo Oct./Dec. 2004, São Paulo-SP, p. 28-38.|2004|http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-88392004000400005&lng=en&nrm=iso&tlng=pt|Source||Social Policy and Planning: An Approach Metropolitan.||
71|Paper|ALMEIDA, R. R. M.; Tiarajú D´ANDREA. Poverty and social networks in a slum in São Paulo. Novos Estudos, São Paulo, v. 68, p. 94-106, 2004.|2004|||Art_Ronaldo_Tiaraju.pdf|Poverty and social networks in a slum in São Paulo.||
72|Paper|MARQUES, Eduardo - Social networks and power system in Brazil (download arquivo - 625 KB) - Work originally presented at the XXVIII Meeting of Anpocs, 2004.|2004|||redes2005.pdf|Social networks and power system in Brazil||
73|Paper|ALMEIDA, Ronaldo de. Religion in the metropolis of São Paulo. Journal of Social Sciences, Oct 2004, vol.19, n.56, p.15-27.|2004|||ronaldo_religi_o_na_metr_pole_paulista.pdf|Religion in the metropolis of São Paulo.||
74|Paper|TORRES, H. et al. The spatial dimension of urban poverty. (Download arquivo - 5200 KB) Paper presented at “MacArthur Research Network on Inequality and Economic Performance,” IBMEC, Rio de Janeiro , November 19-20, 2004.|2004|||mesa_avalia.pdf|The spatial dimension of urban poverty.||
75|Paper|TORRES, Haroldo da Gama. São Paulo's Border (download arquivo - 195 KB) Article presented at the XIV National Meeting of Population Studies, Caxambu-MG, September 2004.|2004|||abep2004.pdf|São Paulo's Border||
76|Paper|COMIN, A., CARDOSO, A., GUIMARÃES, N. A. Les rejetés de la modernisation: restructurations productives et trajectoires intersectorielles effectuées par les travailleurs licenciés de l’industrie. Sociologie du Travail, Paris, v. 46, n. 01, 2004, pp. 54-68.|2004||||Les rejetés de la modernisation: restructurations productives et trajectoires intersectorielles effectuées par les travailleurs licenciés de l’industrie.||
77|Paper|GEORGES, I. Os empregos subalternos no setor de telecomunicações: comparações França-Alemanha”. Revista Estudos Feministas, (Santa Catarina: UFSC) August 2004, v.12, n. 2, p. 201-223.|2004||||Os empregos subalternos no setor de telecomunicações: comparações França-Alemanha”||
78|Paper|GUIMARÃES, N. A.Quando a indústria se transforma... Atores locais e políticas sub-nacionais de eqüidade de gênero e raça. Revista São Paulo em Perspectiva. (São Paulo: Fundação SEADE), vol. 18, n. 4, October-December, 2004.|2004||||Quando a indústria se transforma... Atores locais e políticas sub-nacionais de eqüidade de gênero e raça.||
79|Paper|GUIMARÃES, N. A. Gênero e trabalho. Revista de Estudos Feministas (Santa Catarina: UFSC), August 2004, vol.12, no. 2, Introduction to the special issue, pp. 145-146.|2004||||Gênero e trabalho. Revista de Estudos Feministas||
80|Paper|GUIMARÃES, N. A.; BIDERMAN, C. Na ante-sala da Discriminação: O Preço dos Atributos de Sexo e Cor no Brasil dos anos 90. Revista de Estudos Feministas (Santa Catarina: UFSC), August 2004, vol.12, no. 2, p.177-200.|2004||||Na ante-sala da Discriminação: O Preço dos Atributos de Sexo e Cor no Brasil dos anos 90.||
81|Presentation|BICHIR, R.M. & FERREIRA, M.P. & TORRES, H.G. – “Young people in São Paulo: exploring the effect of neighborhood relations”. Text presented at the XI National Meeting of ANPUR, Salvador, 23-27 de Maio de 2005.|2005|||artigoAnpur_versaosite.pdf|Young people in São Paulo: exploring the effect of neighborhood relations||
82|Presentation|ALVES, Humberto e TORRES, Haroldo. Poverty and Environmental Risk in São Paulo: an analysis of households and families in vulnerable socio-environmental. (Download arquivo - 1870 KB) Paper presented at the Seminar on Population and Environment: methodological approaches, held on November 10, 2005 in Campinas-SP.|2005|||Artigo_Biro_e_Haroldo_Seminario_ABEP.pdf|Poverty and Environmental Risk in São Paulo: an analysis of households and families in vulnerable socio-environmental.||
83|Presentation|ALVES, Humberto P. F. Socio-environmental vulnerability in the metropolis: an analysis of situations of spatial overlap of issues and social and environmental risks. (download arquivo - 800 KB) - Proceedings of the eleventh meeting of the National Association of Graduate Studies and Research in Urban and Regional Planning (ANPUR), Salvador-BA, May, 2005.|2005|||Artigo_Humberto_Alves___XI_ENANPUR.pdf|Socio-environmental vulnerability in the metropolis: an analysis of situations of spatial overlap of issues and social and environmental risks.||
84|Presentation|TORRES, Haroldo. Demographic Information and Public Policy Regional and Local Scale. (Download arquivo - 150 KB) - Paper presented at the “Reunión de expertos sobre población y desarrollo local.” Santiago, Chile: CELADE/CEPAL, October 2005.|2005|||Texto_Celade___Haroldo_Torres2-c1.pdf|Demographic Information and Public Policy Regional and Local Scale.||
85|Paper|BOTELHO, Isaura e FIORE, Mauricio - O uso do tempo livre e as práticas culturais na Região Metropolina de São Paulo - Relatório da primeira etapa da pesquisa (download arquivo - 1.130 KB), 2005.|2005|||relatorio_etapa1.pdf|O uso do tempo livre e as práticas culturais na Região Metropolina de São Paulo||
86|Paper|OLIVEIRA, Maria Aparecida e ALVES, Humberto. Urban Expansion and Deforestation in protected areas by the Environmental Legislation in the Metropolitan Region of São Paulo. (download arquivo - 700 KB) Paper presented at the Seminar on Population and Environment: methodological approaches, held on November 10, 2005 in Campinas – SP.|2005|||Artigo_Cida_e_Biro__Seminario_Abep.pdf|Urban Expansion and Deforestation in protected areas by the Environmental Legislation in the Metropolitan Region of São Paulo.||
