id;titulo;temas;fontes;tags;descricao_do_conjunto_de_dados;tipos;descricao_do_tipo_de_arquivo;nome_arquivo;data_ref;data_lancamento
11;Shapefile dos Setores Censitários 2010 RM Belém  SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Belém#Descrição dos Arquivos;RM_Belem_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
12;Shapefile dos Setores Censitários 2010 RM Belo Horizonte SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Belo Horizonte#Descrição dos Arquivos;RM_Belo_Horizonte_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
13;Shapefile dos Setores Censitários 2010 RM Campinas SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Campinas#Descrição dos Arquivos;RM_Campinas_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
14;Shapefile dos Setores Censitários 2010 RM Curitiba SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Curitiba#Descrição dos Arquivos;RM_Curitiba_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
15;Shapefile dos Setores Censitários 2010 RM Distrito Federal  SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Distrito Federal#Descrição dos Arquivos;RM_Distrito_Federal_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2000
16;Shapefile dos Setores Censitários 2010 RM Florianópolis SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Florianópolis#Descrição dos Arquivos;RM_Florianopolis_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
17;Shapefile dos Setores Censitários 2010 RM Fortaleza SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Fortaleza#Descrição dos Arquivos;RM_Fortaleza_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
18;Shapefile dos Setores Censitários 2010 RM Goiânia SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Goiânia#Descrição dos Arquivos;RM_Goiania_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
19;Shapefile dos Setores Censitários 2010 RM João Pessoa SC2010  CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de João Pessoa#Descrição dos Arquivos;RM_Joao_Pessoa_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
20;Shapefile dos Setores Censitários 2010 RM Maceió SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Maceió#Descrição dos Arquivos;RM_Maceio_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
21;Shapefile dos Setores Censitários 2010 RM Manaus SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Manaus#Descrição dos Arquivos;RM_Manaus_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
22;Shapefile dos Setores Censitários 2010 RM Natal SC2010_CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Natal#Descrição dos Arquivos;RM_Natal_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2000
23;Shapefile dos Setores Censitários 2010 RM Porto Alegre SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Porto Alegre#Descrição dos Arquivos;RM_Porto_Alegre_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
24;Shapefile dos Setores Censitários 2010 RM Recife SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Recife#Descrição dos Arquivos;RM_Recife_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
25;Shapefile dos Setores Censitários 2010 RM Rio de Janeiro SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Rio de Janeiro#Descrição dos Arquivos;RM_Rio_de_Janeiro_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
26;Shapefile dos Setores Censitários 2010 RM Salvador SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Salvador#Descrição dos Arquivos;RM_Salvador_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
27;Shapefile dos Setores Censitários 2010 RM São Luís SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de São Luis#Descrição dos Arquivos;RM_Sao_Luis_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
28;Shapefile dos Setores Censitários 2010 RM São Paulo SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de São Paulo#Descrição dos Arquivos;RM_Sao_Paulo_SC2010_V3_CEM.zip#DescricaoSC.pdf;;01/01/2010
29;Shapefile dos Setores Censitários 2010 RM Teresina SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Teresina#Descrição dos Arquivos;RM_Teresina_sc2010_CEM.rar#DescricaoSC.pdf;;01/01/2010
30;Shapefile dos Setores Censitários 2010 RM Vitória SC2010 CEM;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Setores censitários 2010#Censo Demográfico 2010;Esta é a mais recente edição dos setores censitários do recenseamento 2010 e oferece um novo horizonte para as pesquisas sócio-espaciais. Associados a um sistema de informação geográfica, esses dados e arquivos cartográficos dão acesso a um conjunto integrado de informações que torna possível identificar áreas com alta concentração de pobreza ou atendidas insuficientemente por políticas públicas, transformando-se num instrumento fundamental para que a sociedade e o poder público conheçam e atuem nos lugares.;cartográfico;Setores Censitários de Vitória;RM_Vitoria_sc2010_CEM.rar;;01/01/2010
31;Distritos da Região Metropolitana de São Paulo;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Distritos da RMSP;;cartográfico;Contornos perimétricos e dados dos 162 distritos da RMSP (shape), obtidos conforme quadro político-administrativo de 01/01/2001. Edição: junho de 2007#Figuras do Município de SP (jpg) dividido em Distritos + planilha com dados;CEMdistritos_shape.rar#DistritosSAO.rar;2001;01/01/2007
32;Municípios da Região Metropolitana de São Paulo;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Municípios da RMSP;;cartográfico;Contornos perimétricos e dados dos 39 distritos da RMSP (shape), obtidos conforme quadro político-administrativo de 01/01/2001. Edição: junho de 2007#Figuras da RMSP (jpg) dividida em municípios and planilha com dados;CEMmunic_shape.rar#MunicipiosRM.rar;2001;01/01/2007
33;Setores CEP da Região Metropolitana de São Paulo;Demografia#Divisão Territorial, cartografia e georreferenciamento;Secretaria de Transporte do Municipio de São Paulo#Base de CEPs do correio;Setores CEP da RMSP;;cartográfico;;;;01/01/2007
34;Subprefeituras da Região Metropolitana de São Paulo;Demografia#Divisão Territorial, cartografia e georreferenciamento;IBGE;Subprefeituras da RMSP;;cartográfico;Contornos perimétricos e dados das 31 Subprefeituras do município de São Paulo (shape), conforme lei municipal 13.682/2003. Edição: junho de 2007.#Figuras do Município de São Paulo (jpg) dividido em Subprefeituras + planilha com dados.;CEMsubpref_shape.rar#SubprefSAO.rar;2003;01/01/2007
35;Base Cartográfica de Favelas;Divisão Territorial, cartografia e georreferenciamento#Desigualdade social e pobreza;Secretaria de Habitação do Municipio de São Paulo;Favelas e loteamentos;Em fevereiro de 2003, o CEM e a Secretaria da Habitação e Desenvolvimento Urbano da Prefeitura Municipal de São Paulo lançaram CD-Rom com a Base Cartográfica digital das favelas do Município de São Paulo que é o cadastro oficial de favelas do Município. O trabalho é o produto de uma parceria de transferência de tecnologia entre as duas instituições. Para outras informações sobre favelas, consulte também os artigos disponíveis na biblioteca deste site. O arquivo contém um sistema de consulta cartográfica às favelas do Município, texto analítico com a metodologia utilizada e estimativas populacionais e as bases cartográficas digitais das favelas do Município.;não cartográfico;Maptitude#ArcView#Autocad Map#Excel;Maptitude.zip#ArcView.zip#AutoCAD_Map.zip#Microsoft_Excel.zip;2003;01/01/2003
